Generación: 0, Fitness: 1.4782394116435982, Individuo: [0.7610597558657894]
Generación: 1, Fitness: 2.617503042136995, Individuo: [0.76062472923604]
Generación: 2, Fitness: 2.617503042136995, Individuo: [0.7869455983582954]
Generación: 3, Fitness: 3.9323474432746837, Individuo: [0.7840968835292517]
Generación: 4, Fitness: 3.9323474432746837, Individuo: [0.9555541730441357]
Generación: 5, Fitness: 5.065446218359777, Individuo: [0.784910683585738]
Generación: 6, Fitness: 5.065446218359777, Individuo: [0.9315975702582061]
Generación: 7, Fitness: 9.267052766665394, Individuo: [0.9051207815044611]
Generación: 8, Fitness: 11.868289786439872, Individuo: [1.4041475887752344]
Generación: 9, Fitness: 12.027859515151317, Individuo: [1.1274925133269025]
Generación: 10, Fitness: 12.027859515151317, Individuo: [1.5815719807816109]
Generación: 11, Fitness: 15.626367375359555, Individuo: [1.3318596144444923]
Generación: 12, Fitness: 15.626367375359555, Individuo: [1.5815719807816109]
Generación: 13, Fitness: 17.745955541997688, Individuo: [1.6847139902344257]
Generación: 14, Fitness: 17.745955541997688, Individuo: [1.5815719807816109]
Generación: 15, Fitness: 22.529009372609345, Individuo: [1.6744464313699134]
Generación: 16, Fitness: 28.866630488464608, Individuo: [1.5815719807816109]
Generación: 17, Fitness: 31.99287201903182, Individuo: [1.8085313640452272]
Generación: 18, Fitness: 36.05028762820838, Individuo: [2.1269548912683955]
Generación: 19, Fitness: 35.880617541659376, Individuo: [2.1269548912683955]
Generación: 20, Fitness: 36.49882953715252, Individuo: [2.148539042503754]
Generación: 21, Fitness: 38.713116833965664, Individuo: [2.1520074943525302]
Generación: 22, Fitness: 50.07985720689446, Individuo: [2.286894963977144]
Generación: 23, Fitness: 50.07985720689446, Individuo: [2.5956314937442033]
Generación: 24, Fitness: 54.30916543920773, Individuo: [2.20112137549674]
Generación: 25, Fitness: 71.67530791914719, Individuo: [2.5557239475454008]
Generación: 26, Fitness: 71.36602957836155, Individuo: [2.5557239475454008]
Generación: 27, Fitness: 71.36602957836155, Individuo: [2.371605903153012]
Generación: 28, Fitness: 71.36602957836155, Individuo: [2.6798984492480202]
Generación: 29, Fitness: 85.7519805132536, Individuo: [2.5956314937442033]
Generación: 30, Fitness: 85.7519805132536, Individuo: [2.6938858261202014]
Generación: 31, Fitness: 85.7519805132536, Individuo: [2.8760080256523533]
Generación: 32, Fitness: 85.7519805132536, Individuo: [2.8760080256523533]
Generación: 33, Fitness: 85.7519805132536, Individuo: [2.8760080256523533]
Generación: 34, Fitness: 100.73741279892329, Individuo: [2.8760080256523533]
Generación: 35, Fitness: 100.73741279892329, Individuo: [2.8760080256523533]
Generación: 36, Fitness: 100.73741279892329, Individuo: [3.1174555913974658]
Generación: 37, Fitness: 100.73741279892329, Individuo: [3.1174555913974658]
Generación: 38, Fitness: 110.46032862748345, Individuo: [2.976559975277774]
Generación: 39, Fitness: 111.74393890420275, Individuo: [2.9874333517884732]
Generación: 40, Fitness: 116.23046165956839, Individuo: [3.2261892967451518]
Generación: 41, Fitness: 116.23046165956839, Individuo: [3.259617260867903]
Generación: 42, Fitness: 136.754027365175, Individuo: [3.3396496350044176]
Generación: 43, Fitness: 136.754027365175, Individuo: [3.284443078197644]
Generación: 44, Fitness: 136.754027365175, Individuo: [3.284443078197644]
Generación: 45, Fitness: 136.754027365175, Individuo: [3.5722317275920603]
Generación: 46, Fitness: 147.1611832809584, Individuo: [3.4757900907933763]
Generación: 47, Fitness: 147.1611832809584, Individuo: [3.3396496350044176]
Generación: 48, Fitness: 147.1611832809584, Individuo: [3.5722317275920603]
Generación: 49, Fitness: 154.93499074889945, Individuo: [3.588530518837229]
